month,leads_raw,paid_deals_raw,revenue_raw,clicks,spend
2025-01,0,0,0.0,40,9211.52
2025-02,0,0,0.0,0,0.0
2025-03,0,0,0.0,0,0.0
2025-04,0,0,0.0,0,0.0
2026-03,435,2,51000.0,20483,220486.68
2026-04,0,0,0.0,5392,127326.98
