День,№ Кампании,Название кампании,Статус кампании,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,№ Группы,Название группы,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽"
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647837640,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/5221943/mUPD3DBPHPeLrm2WhqGz9A,b (3),-,-,Текстово-графический,Оригинальный,5729695027,lal_1_baza_uch_reg,4.87,294,1,0,0.00,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267813,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4883704/AP2TBy3sKo3tQrHmawiCjQ,b (1),-,-,Текстово-графический,Оригинальный,5729340976,pbh_blue_all,0.00,7,0,0,-,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267812,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4566389/rTjitfZEzP7zmocYnwOEqA,b (2),-,-,Текстово-графический,Оригинальный,5729340976,pbh_blue_all,2.81,22,2,0,0.00,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647837642,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4883704/AP2TBy3sKo3tQrHmawiCjQ,b (1),-,-,Текстово-графический,Оригинальный,5729695027,lal_1_baza_uch_reg,0.00,17,0,0,-,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647838981,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/5221943/mUPD3DBPHPeLrm2WhqGz9A,b (3),-,-,Текстово-графический,Оригинальный,5729695275,lal_lead_submitt_form,35.12,226,2,0,0.00,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647838982,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4566389/rTjitfZEzP7zmocYnwOEqA,b (2),-,-,Текстово-графический,Оригинальный,5729695275,lal_lead_submitt_form,167.83,968,6,1,16.67,167.83
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267816,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4566389/rTjitfZEzP7zmocYnwOEqA,b (2),-,-,Текстово-графический,Оригинальный,5729340977,baza_pay_demo_all,0.00,1,0,0,-,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267802,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4756895/965d0I_OPtNjFD-3WB8N5g,b (4).jpg,-,-,Текстово-графический,Оригинальный,5729340974,Посетители все 90 дней,1734.79,4765,105,7,6.67,247.83
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267810,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4756895/965d0I_OPtNjFD-3WB8N5g,b (4).jpg,-,-,Текстово-графический,Оригинальный,5729340976,pbh_blue_all,0.00,37,0,1,-,0.00
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647837639,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4756895/965d0I_OPtNjFD-3WB8N5g,b (4).jpg,-,-,Текстово-графический,Оригинальный,5729695027,lal_1_baza_uch_reg,204.26,622,7,5,71.43,40.85
